ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID,Latitude,Longitude
41954,Paxton Public School,Paxton,NSW,2325,Primary,Gov,Open,Inner Regional,41954,49296,-32.901,151.285
46607,Payne Road State School,The Gap,QLD,4061,Primary,Gov,Open,Major Cities,46607,51196,-27.4494,152.951
44459,Paynesville Primary School,Paynesville,VIC,3880,Primary,Gov,Open,Outer Regional,44459,54901,-37.9113,147.715
48082,Peace Lutheran College,Kamerunga,QLD,4870,Combined,Non-Gov,Open,Outer Regional,48082,57893,-16.8803,145.691
48073,Peace Lutheran Primary School,Gatton,QLD,4343,Primary,Non-Gov,Open,Inner Regional,48073,54257,-27.5574,152.275
46842,Peachester State School,Peachester,QLD,4519,Primary,Gov,Open,Inner Regional,46842,52306,-26.8435,152.882
46467,Peak Crossing State School,Peak Crossing,QLD,4306,Primary,Gov,Open,Inner Regional,46467,51758,-27.7798,152.731
43025,Peak Hill Central School,Peak Hill,NSW,2869,Combined,Gov,Open,Outer Regional,43025,51092,-32.7289,148.192
41044,Peakhurst Public School,Peakhurst,NSW,2210,Primary,Gov,Open,Major Cities,41044,48607,-33.9556,151.062
41101,Peakhurst South Public School,Peakhurst,NSW,2210,Primary,Gov,Open,Major Cities,41101,48608,-33.9729,151.056
41084,Peakhurst West Public School,Peakhurst,NSW,2210,Primary,Gov,Open,Major Cities,41084,45800,-33.9623,151.049
44537,Pearcedale Primary School,Pearcedale,VIC,3912,Primary,Gov,Open,Major Cities,44537,52128,-38.203,145.232
52236,Pearcedale Primary School-Pearcedale Deaf Facility,Pearcedale,VIC,3912,Primary,Gov,Open,Major Cities,44537,29116,-38.2032,145.231
50545,Pearsall Primary School,Pearsall,WA,6065,Primary,Gov,Open,Major Cities,50545,70072,-31.7802,115.815
41955,Peats Ridge Public School,Peats Ridge,NSW,2250,Primary,Gov,Open,Inner Regional,41955,48686,-33.3258,151.233
49851,Pedare Christian College,Golden Grove,SA,5125,Combined,Non-Gov,Open,Major Cities,49851,45532,-34.7947,138.693
42529,Peel High School,Tamworth,NSW,2340,Secondary,Gov,Open,Inner Regional,42529,49351,-31.0998,150.893
48854,Peel Language Development School,Port Kennedy,WA,6172,Special,Gov,Open,Major Cities,48854,57859,-32.3576,115.767
52909,Peel Language Development School - Bungaree Campus,Rockingham,WA,6168,Special,Gov,Open,Major Cities,48854,86693,-32.29096,115.73831
52907,Peel Language Development School - Mandurah Campus,Mandurah,WA,6210,Special,Gov,Open,Major Cities,48854,86691,-32.52759,115.72518
52908,Peel Language Development School - Pinjarra Campus,Pinjarra,WA,6208,Special,Gov,Open,Major Cities,48854,86692,-32.62936,115.86632
48634,Pegs Creek Primary School,Karratha,WA,6714,Primary,Gov,Open,Remote,48634,52734,-20.7381,116.832
41956,Pelaw Main Public School,Pelaw Main,NSW,2327,Primary,Gov,Open,Major Cities,41956,49305,-32.8311,151.482
41926,Pelican Flat Public School,Pelican,NSW,2281,Primary,Gov,Open,Major Cities,41926,48959,-33.0743,151.648
48193,Pemberton District High School,Pemberton,WA,6260,Combined,Gov,Open,Outer Regional,48193,52487,-34.4482,116.046
44925,Pembroke Primary School,Mooroolbark,VIC,3138,Primary,Gov,Open,Major Cities,44925,48492,-37.796,145.325
49833,Pembroke School - Middle School Campus,Kensington Park,SA,5068,Combined,Non-Gov,Open,Major Cities,49833,40265,-34.9209,138.65
50517,Pembroke School - Junior School Campus,Kensington Park,SA,5068,Combined,Non-Gov,Open,Major Cities,49833,77614,-34.9218,138.656
50518,Pembroke School - Senior School Campus,Kensington Park,SA,5068,Combined,Non-Gov,Open,Major Cities,49833,77615,-34.92233,138.655
44656,Penders Grove Primary School,Thornbury,VIC,3071,Primary,Gov,Open,Major Cities,44656,48059,-37.7545,145.014
41818,Pendle Hill High School,Wentworthville,NSW,2145,Secondary,Gov,Open,Major Cities,41818,47809,-33.7952,150.962
41687,Pendle Hill Public School,Wentworthville,NSW,2145,Primary,Gov,Open,Major Cities,41687,47810,-33.8098,150.953
50712,Penguin District School,Penguin,TAS,7316,Combined,Gov,Open,Outer Regional,50712,46787,-41.1269,146.069
46219,Peninsula Grammar,Mount Eliza,VIC,3930,Combined,Non-Gov,Open,Major Cities,46219,57252,-38.1982,145.091
45098,Peninsula Specialist College,Dromana,VIC,3936,Special,Gov,Open,Major Cities,45098,46292,-38.3418,145.01
46180,Penleigh & Essendon Grammar School,Keilor East,VIC,3033,Combined,Non-Gov,Open,Major Cities,46180,40912,-37.7322,144.87
46181,Penleigh & Essendon Grammar School - Essendon Campus,Essendon,VIC,3040,Combined,Non-Gov,Open,Major Cities,46180,77076,-37.7541,144.92
46182,Penleigh & Essendon Grammar School - Moonee Ponds Campus,Moonee Ponds,VIC,3039,Combined,Non-Gov,Open,Major Cities,46180,77075,-37.7617,144.912
41340,Pennant Hills High School,Pennant Hills,NSW,2120,Secondary,Gov,Open,Major Cities,41340,47762,-33.7337,151.061
41235,Pennant Hills Public School,Pennant Hills,NSW,2120,Primary,Gov,Open,Major Cities,41235,47763,-33.7358,151.068
49270,Pennington School R-6,Pennington,SA,5013,Primary,Gov,Open,Major Cities,49270,46903,-34.8574,138.532
46096,Penola Catholic College,Broadmeadows,VIC,3047,Secondary,Non-Gov,Open,Major Cities,46096,54377,-37.6888,144.92
46097,Penola Catholic College - Glenroy Campus,Glenroy,VIC,3046,Secondary,Non-Gov,Open,Major Cities,46096,77259,-37.7096,144.908
43220,Penola Catholic College Emu Plains,Emu Plains,NSW,2750,Secondary,Non-Gov,Open,Major Cities,43220,45540,-33.7431,150.678
49519,Penola High School,Penola,SA,5277,Secondary,Gov,Open,Outer Regional,49519,47294,-37.3737,140.844
49448,Penola Primary School,Penola,SA,5277,Primary,Gov,Open,Outer Regional,49448,47295,-37.3791,140.833
