ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID
46914,Flying Fish Point State School,Flying Fish Point,QLD,4860,Primary,Gov,Open,Outer Regional,46914,53095
44378,Footscray City Primary School,Footscray,VIC,3011,Primary,Gov,Open,Major Cities,44378,47530
52813,Footscray High School,Footscray,VIC,3011,Secondary,Gov,Open,Major Cities,52813,86859
52814,Footscray High School - Barkly Campus,Footscray,VIC,3011,Secondary,Gov,Open,Major Cities,52813,86858
52951,Footscray High School - Pilgrim Campus,Seddon,VIC,3011,Secondary,Gov,Open,Major Cities,52813,87721
44714,Footscray North Primary School,Footscray,VIC,3011,Primary,Gov,Open,Major Cities,44714,47529
44062,Footscray Primary School,Footscray,VIC,3011,Primary,Gov,Open,Major Cities,44062,47531
44664,Footscray West Primary School,West Footscray,VIC,3012,Primary,Gov,Open,Major Cities,44664,45413
43104,Forbes High School,Forbes,NSW,2871,Secondary,Gov,Open,Outer Regional,43104,51100
43073,Forbes North Public School,Forbes,NSW,2871,Primary,Gov,Open,Outer Regional,43073,51101
49390,Forbes Primary School,South Plympton,SA,5038,Primary,Gov,Open,Major Cities,49390,46952
42981,Forbes Public School,Forbes,NSW,2871,Primary,Gov,Open,Outer Regional,42981,51102
48686,Forest Crescent Primary School,Thornlie,WA,6108,Primary,Gov,Open,Major Cities,48686,54937
45508,Forest Hill College,Burwood East,VIC,3151,Secondary,Gov,Open,Major Cities,45508,54850
52140,Forest Hill College-Forest Hill Deaf Facility,Burwood East,VIC,3151,Secondary,Gov,Open,Major Cities,45508,29120
42568,Forest Hill Public School,Forest Hill,NSW,2651,Primary,Gov,Open,Inner Regional,42568,50480
46853,Forest Hill State School,Forest Hill,QLD,4342,Primary,Gov,Open,Inner Regional,46853,51793
47243,Forest Lake State High School,Forest Lake,QLD,4078,Secondary,Gov,Open,Major Cities,47243,57700
47405,Forest Lake State School,Forest Lake,QLD,4078,Primary,Gov,Open,Major Cities,47405,55840
41018,Forest Lodge Public School,Forest Lodge,NSW,2037,Primary,Gov,Open,Major Cities,41018,46141
40213,Forest Primary School,Forest,TAS,7330,Primary,Gov,Open,Outer Regional,40213,48341
